"(PDH-CSV 4.0) (GMT Summer Time)(-60)","\\desktop-ttf7p18\processor(_total)\% processor time","\\desktop-ttf7p18\logicaldisk(_total)\disk reads/sec","\\desktop-ttf7p18\logicaldisk(_total)\disk writes/sec","\\desktop-ttf7p18\sqlserver:databases(_total)\log bytes flushed/sec"
"06/29/2017 10:32:02.079"," "," "," "," "
"06/29/2017 10:32:03.111","86.37177563479905","2.906621351999076","8.7198640559972276","0"
"06/29/2017 10:32:04.193","100","0","2.7737466898369649","0"
"06/29/2017 10:32:05.273","93.129528612793095","0.92566492607169137","13.88497389107537","2843.6426528922357"
"06/29/2017 10:32:06.295","100","0","7.8300744156131081","0"
"06/29/2017 10:32:07.348","97.033295913305778","0","27.530472969230345","0"
"06/29/2017 10:32:08.415","100","0","6.5617495301391218","0"
"06/29/2017 10:32:09.508","93.926862214125478","1.8290532160159976","7.3162128640639903","0"
"06/29/2017 10:32:10.512","6.9382229506484201","0","1.9935580913164728","0"
"06/29/2017 10:32:11.530","4.1151836285362453","0","13.746051251643934","0"
"06/29/2017 10:32:12.552","5.9220027992227369","0","2.9369005709536569","0"
"06/29/2017 10:32:13.572","47.566765000073971","0","4.89920510368741","0"
"06/29/2017 10:32:14.669","100","0","2.7339832276615299","0"
"06/29/2017 10:32:15.748","94.932653752203692","0","5.561948347586573","0"
"06/29/2017 10:32:16.837","100","1.8365329265822021","1.8365329265822021","0"
"06/29/2017 10:32:17.889","97.771686234787211","0","17.113527314559754","0"
"06/29/2017 10:32:18.901","100","0","2.964567082360047","0"
"06/29/2017 10:32:19.981","99.638439720500259","0","3.7036823937500905","0"
"06/29/2017 10:32:20.984","14.322701954165195","0","3.9872843094631203","0"
"06/29/2017 10:32:22.003","6.4159506003861662","0","8.8373990785066887","0"
"06/29/2017 10:32:23.032","3.2535881914446785","0","1.9425657475056342","0"
"06/29/2017 10:32:24.051","6.0500149068340008","0","4.9082161730266263","0"
"06/29/2017 10:32:25.108","67.83710752226979","0","1.892799087763426","0"
"06/29/2017 10:32:26.180","100","0.93173739165299052","1.863474783305981","0"
"06/29/2017 10:32:27.245","96.698480254007848","1.878669003767016","2.8180035056505237","0"
"06/29/2017 10:32:28.344","98.933200012162033","0","86.452303976488338","0"
"06/29/2017 10:32:29.422","100","0","3.7098630373277821","0"
"06/29/2017 10:32:30.491","100","0.93622336452044197","2.8086700935613256","0"
"06/29/2017 10:32:31.506","91.923796726817727","0.98461597568717352","12.800007683933256","0"
"06/29/2017 10:32:32.524","14.4138060523065","0","2.9474630651740465","0"
"06/29/2017 10:32:33.554","70.806184040467031","0","9.7033050557778147","0"
"06/29/2017 10:32:34.658","100","0","1.8127087869065508","0"
"06/29/2017 10:32:35.738","94.215886618051115","0","3.7024684815446154","0"
"06/29/2017 10:32:36.810","97.813505117121025","0","7.4621064386552654","0"
"06/29/2017 10:32:37.816","100","0","1.988819996504209","0"
"06/29/2017 10:32:38.884","100","0","2.808050766751069","0"
"06/29/2017 10:32:39.963","74.29950333502326","0","2.7801443102680903","0"
"06/29/2017 10:32:40.982","3.3291785953345476","0","1.9642561281220821","0"
"06/29/2017 10:32:41.999","8.2227594936410178","0","1.966090478447253","0"
"06/29/2017 10:32:43.016","3.9693283996492523","0","1.9666749502358307","0"
"06/29/2017 10:32:44.041","7.0265991961440566","0","34.137896385371612","0"
"06/29/2017 10:32:45.059","9.4834713259347119","0","2.9459663675660694","0"
"06/29/2017 10:32:46.094","51.656948424151871","0","1.933687912630345","0"
"06/29/2017 10:32:47.200","100","0","1.807872278775728","0"
"06/29/2017 10:32:48.266","94.871529168163207","0","8.4430521135954031","0"
"06/29/2017 10:32:49.367","100","0","1.8164978693045379","0"
"06/29/2017 10:32:50.394","96.956385046412947","0","4.8690834992650709","0"
"06/29/2017 10:32:51.473","100","0","1.8531389539804799","0"
"06/29/2017 10:32:52.557","90.266031904188679","0","6.4609068415846149","0"
"06/29/2017 10:32:53.561","7.0227849493013856","0","3.983624960458827","0"
"06/29/2017 10:32:54.598","4.0118497583851109","0.96359463052250194","6.7451624136575132","0"
"06/29/2017 10:32:55.617","7.6072385434073801","0.98139660893689995","19.627932178738","0"
"06/29/2017 10:32:56.653","2.6696275541783443","0","1.9315800966428582","0"
"06/29/2017 10:32:57.671","6.8024242671783757","0","1.9637356699860036","0"
"06/29/2017 10:32:58.702","75.7551471580135","0","4.8490633033697454","0"
"06/29/2017 10:32:59.788","100","0","2.7620405474551073","0"
"06/29/2017 10:33:00.875","94.968498545683318","0","50.614179863568168","0"
"06/29/2017 10:33:01.942","97.802070531615243","0","3.750894401467427","0"
"06/29/2017 10:33:02.964","100","0","1.9556730083823615","0"
"06/29/2017 10:33:04.039","100","0","4.6520418390564364","0"
"06/29/2017 10:33:05.126","69.09048199848074","3.6801889625346216","9.2004724063365533","0"
"06/29/2017 10:33:06.145","7.196737468019232","0","8.8356747456130744","0"
"06/29/2017 10:33:07.163","65.475384741084895","0","1.9638080956084454","0"
"06/29/2017 10:33:08.248","100","0","1.8432739205953999","0"
"06/29/2017 10:33:09.662","95.027695339176404","0","8.4865003851727447","0"
"06/29/2017 10:33:10.695","97.731707253339678","0","4.8390311303890554","0"
"06/29/2017 10:33:11.713","100","0","2.9492456741251991","0"
"06/29/2017 10:33:12.730","100","0","1.9661806999039921","0"
"06/29/2017 10:33:13.747","74.652974955443312","0","2.9493704423395455","0"
"06/29/2017 10:33:14.765","9.106473354784427","0","4.905962932628297","0"
"06/29/2017 10:33:15.812","19.776788980782779","0","6.6902447380739023","0"
"06/29/2017 10:33:16.831","10.991230143923625","0","56.963346108704911","0"
"06/29/2017 10:33:17.860","10.419089501326207","0","10.690063865958392","0"
"06/29/2017 10:33:18.871","89.959080999729011","0","4.9423254452565741","0"
"06/29/2017 10:33:19.924","100","0","1.8999260381933922","0"
"06/29/2017 10:33:20.996","94.170877780001646","0","2.797958710986086","0"
